pwsid,utility_name,corrected rates PWSID
CA3600010,Apple Valley Ranchos Water Company,CA3610118
CA0900217,Bear State Water Works,CA0901217
CA3610022,Big Bear Lake  City Of,CA3610044
CA3301428,Blythe  City Of,CA3310003
CA0510004,Calaveras County Water District,CA0510004
CA0510004,Calaveras County Water District,CA0510017
CA0510004,Calaveras County Water District,CA0510005
CA0510004,Calaveras County Water District,CA0510006
CA0510004,Calaveras County Water District,CA0510016
CA0510004,Calaveras County Water District,CA0510019
CA0510004,Calaveras County Water District,CA0510011
NA,Calaveras Public Utilities District,CA0510002
NA,California American Water Company - Larkfield,CA4910023
CA2701202,California American Water Company - Monterey District,CA2710004
CA3110150,California American Water Company - Sacramento District,CA3410017
CA3110150,California American Water Company - Sacramento District,CA4910024
CA3110150,California American Water Company - Sacramento District,CA3410010
CA3110150,California American Water Company - Sacramento District,CA3410013
CA3110150,California American Water Company - Sacramento District,CA3410045
CA3110150,California American Water Company - Sacramento District,CA3410031
CA3110150,California American Water Company - Sacramento District,CA3410150
CA3110150,California American Water Company - Sacramento District,CA5700712
CA3110150,California American Water Company - Sacramento District,CA3410012
CA3110150,California American Water Company - Sacramento District,CA3410047
CA1910052,California American Water Company Los Angeles District - Duarte,CA1910186
CA1910052,California American Water Company Los Angeles District - San Marino,CA1910139
CA5610040,California American Water Ventura District,CA5610040
CA5610040,California American Water Ventura District,CA5610081
CA0105008,California Water Service Company Livermore,CA0110003
CA5410041,California Water Service Company Visalia,CA5410016
NA,Crescent City,CA0810001
NA,Del Oro Water Company - Black Butte,CA1100404
NA,Del Oro Water Company - Magalia,CA0410009
NA,La Habra  City Of,CA3010018
NA,Lathrop  City Of,CA3910015
CA2000851,Madera  City Of,CA2010002
NA,North Marin Water District - West Marin,CA2110003
CA0910002,North Tahoe Public Utilities District,CA3110001
NA,Norwalk Municipal Water System,CA1910191
CA5805001,Olivehurst Public Utility District,CA5810003
NA,Redwood City,CA4110022
NA,Rio Dell  City Of,CA1210012
CA3010037,Rio Linda Water District,CA3410018
NA,Rio Vista  City Of,CA4810004
NA,Sierra Estates Mutual Water Company,CA2900548
CA1910046,Suburban Water Systems - San Jose Hills,CA1910205
NA,Vallejo  City Of - Vallejo Service Area,CA4810007
NA,Vallejo City Of - Lakes Service Area,CA4810021
NA,Ventura City Of,CA5610017
CA0110012,San Francisco Public Utilities Commission,CA3810011
CA0310002,Amador Water Agency,CA2710001
