utility_name,pwsid,effective_date,bill_frequency,bill_unit,usage_ccf,avg_household_size,et_amount,bill_type,service_charge,commodity_charge,bill,tier_starts,tier_0,tier_prices,median_income_category,approximate_median_income,check,bill_frequency_update,Tier_number,Tier_price,Tier_volume
Alameda County Water District,CA0110001,3/1/2018,Bi-Monthly,converted to kgal,9,3.056282498,7.784384651,Uniform,26.16,18.245,31.33,NA,NA,4.249,"$100,000 to $124,999",112500,0,Monthly,1,3.178472948,NA
Alameda County Water District,CA0110001,3/1/2018,Bi-Monthly,converted to kgal,9,3.056282498,7.784384651,Uniform,26.16,18.245,31.33,NA,NA,4.249,"$100,000 to $124,999",112500,0,Monthly,2,NA,NA
Alameda County Water District,CA0110001,3/1/2018,Bi-Monthly,converted to kgal,9,3.056282498,7.784384651,Uniform,26.16,18.245,31.33,NA,NA,4.249,"$100,000 to $124,999",112500,0,Monthly,3,NA,NA
Alameda County Water District,CA0110001,3/1/2018,Bi-Monthly,converted to kgal,9,3.056282498,7.784384651,Uniform,26.16,18.245,31.33,NA,NA,4.249,"$100,000 to $124,999",112500,0,Monthly,4,NA,NA
Alameda County Water District,CA0110001,3/1/2018,Bi-Monthly,converted to kgal,9,3.056282498,7.784384651,Uniform,26.16,18.245,31.33,NA,NA,4.249,"$100,000 to $124,999",112500,0,Monthly,5,NA,NA
Alameda County Water District,CA0110001,3/1/2018,Bi-Monthly,converted to kgal,9,3.056282498,7.784384651,Uniform,26.16,18.245,31.33,NA,NA,4.249,"$100,000 to $124,999",112500,0,Monthly,6,NA,NA
Alameda County Water District,CA0110001,3/1/2018,Bi-Monthly,converted to kgal,9,3.056282498,7.784384651,Uniform,26.16,18.245,31.33,NA,NA,4.249,"$100,000 to $124,999",112500,0,Monthly,7,NA,NA
Alameda County Water District,CA0110001,3/1/2018,Bi-Monthly,converted to kgal,9,3.056282498,7.784384651,Uniform,26.16,18.245,31.33,NA,NA,4.249,"$100,000 to $124,999",112500,0,Monthly,8,NA,NA
Alco Water Service,CA2710001 ,7/27/2014,Monthly,converted to kgal,15.72177561,3.968875664,3.458281818,Tiered,21.32,39.64,61.65,0-10,0,2.3228-2.7875,"$45,000 to $49,999",47500,0,Monthly,1,1.737575186,7.48052
Alco Water Service,CA2710001,7/27/2014,Monthly,converted to kgal,15.72177561,3.968875664,3.458281818,Tiered,21.32,39.64,61.65,0-10,0,2.3228-2.7875,"$45,000 to $49,999",47500,0,Monthly,2,2.08519495,NA
Alco Water Service,CA2710001,7/27/2014,Monthly,converted to kgal,15.72177561,3.968875664,3.458281818,Tiered,21.32,39.64,61.65,0-10,0,2.3228-2.7875,"$45,000 to $49,999",47500,0,Monthly,3,NA,NA
Alco Water Service,CA2710001,7/27/2014,Monthly,converted to kgal,15.72177561,3.968875664,3.458281818,Tiered,21.32,39.64,61.65,0-10,0,2.3228-2.7875,"$45,000 to $49,999",47500,0,Monthly,4,NA,NA
