,utility_name,pwsid,effective_date,bill_frequency,bill_unit,usage_ccf,avg_household_size,et_amount,bill_type,service_charge,commodity_charge,bill,tier_starts,tier_0,tier_1,tier_2,tier_3,tier_4,tier_5,tier_6,tier_7,tier_8,tier_prices,tier_1_price,tier_2_price,tier_3_price,tier_4_price,tier_5_price,tier_6_price,tier_7_price,tier_8_price,median_income_category,approximate_median_income,check,bill_frequency_update,hh_sizes,reasonable_consumption_kgal,total_bill_by_hhsize,mean_bill,perc_MHI,MH
1,Alameda County Water District,CA0110001,3/1/2018,Bi-Monthly,converted to kgal,9,3.056282498,7.784384651,Uniform,26.16,18.245,31.33,NA,0,1.00E+05,1.00E+06,1.00E+07,1.00E+08,1.00E+09,1.00E+10,1.00E+11,1.00E+12,4.249,3.178472948,0,0,0,0,0,0,0,"$100,000 to $124,999",112500,0,Monthly,1,1.520833333,30.99392761,47.55747989,0.507279785,2.582827301
2,Alameda County Water District,CA0110001,3/1/2018,Bi-Monthly,converted to kgal,9,3.056282498,7.784384651,Uniform,26.16,18.245,31.33,NA,0,1.00E+05,1.00E+06,1.00E+07,1.00E+08,1.00E+09,1.00E+10,1.00E+11,1.00E+12,4.249,3.178472948,0,0,0,0,0,0,0,"$100,000 to $124,999",112500,0,Monthly,2,3.041666667,35.82785522,47.55747989,0.507279785,2.985654601
3,Alameda County Water District,CA0110001,3/1/2018,Bi-Monthly,converted to kgal,9,3.056282498,7.784384651,Uniform,26.16,18.245,31.33,NA,0,1.00E+05,1.00E+06,1.00E+07,1.00E+08,1.00E+09,1.00E+10,1.00E+11,1.00E+12,4.249,3.178472948,0,0,0,0,0,0,0,"$100,000 to $124,999",112500,0,Monthly,3,4.5625,40.66178283,47.55747989,0.507279785,3.388481902
4,Alameda County Water District,CA0110001,3/1/2018,Bi-Monthly,converted to kgal,9,3.056282498,7.784384651,Uniform,26.16,18.245,31.33,NA,0,1.00E+05,1.00E+06,1.00E+07,1.00E+08,1.00E+09,1.00E+10,1.00E+11,1.00E+12,4.249,3.178472948,0,0,0,0,0,0,0,"$100,000 to $124,999",112500,0,Monthly,4,6.083333333,45.49571043,47.55747989,0.507279785,3.791309203
5,Alameda County Water District,CA0110001,3/1/2018,Bi-Monthly,converted to kgal,9,3.056282498,7.784384651,Uniform,26.16,18.245,31.33,NA,0,1.00E+05,1.00E+06,1.00E+07,1.00E+08,1.00E+09,1.00E+10,1.00E+11,1.00E+12,4.249,3.178472948,0,0,0,0,0,0,0,"$100,000 to $124,999",112500,0,Monthly,5,7.604166667,50.32963804,47.55747989,0.507279785,4.194136504
6,Alameda County Water District,CA0110001,3/1/2018,Bi-Monthly,converted to kgal,9,3.056282498,7.784384651,Uniform,26.16,18.245,31.33,NA,0,1.00E+05,1.00E+06,1.00E+07,1.00E+08,1.00E+09,1.00E+10,1.00E+11,1.00E+12,4.249,3.178472948,0,0,0,0,0,0,0,"$100,000 to $124,999",112500,0,Monthly,6,9.125,55.16356565,47.55747989,0.507279785,4.596963804
7,Alameda County Water District,CA0110001,3/1/2018,Bi-Monthly,converted to kgal,9,3.056282498,7.784384651,Uniform,26.16,18.245,31.33,NA,0,1.00E+05,1.00E+06,1.00E+07,1.00E+08,1.00E+09,1.00E+10,1.00E+11,1.00E+12,4.249,3.178472948,0,0,0,0,0,0,0,"$100,000 to $124,999",112500,0,Monthly,7,10.64583333,59.99749326,47.55747989,0.507279785,4.999791105
8,Alco Water Service,CA2710001,7/27/2014,Monthly,converted to kgal,15.72177561,3.968875664,3.458281818,Tiered,21.32,39.64,61.65,0-10,0,7.48052,1.00E+06,1.00E+07,1.00E+08,1.00E+09,1.00E+10,1.00E+11,1.00E+12,2.3228-2.7875,1.737575186,2.08519495,0,0,0,0,0,0,"$45,000 to $49,999",47500,0,Monthly,1,1.520833333,23.96256226,43.24128279,1.092411355,1.996880188
9,Alco Water Service,CA2710001,7/27/2014,Monthly,converted to kgal,15.72177561,3.968875664,3.458281818,Tiered,21.32,39.64,61.65,0-10,0,7.48052,1.00E+06,1.00E+07,1.00E+08,1.00E+09,1.00E+10,1.00E+11,1.00E+12,2.3228-2.7875,1.737575186,2.08519495,0,0,0,0,0,0,"$45,000 to $49,999",47500,0,Monthly,2,3.041666667,26.60512452,43.24128279,1.092411355,2.21709371
10,Alco Water Service,CA2710001,7/27/2014,Monthly,converted to kgal,15.72177561,3.968875664,3.458281818,Tiered,21.32,39.64,61.65,0-10,0,7.48052,1.00E+06,1.00E+07,1.00E+08,1.00E+09,1.00E+10,1.00E+11,1.00E+12,2.3228-2.7875,1.737575186,2.08519495,0,0,0,0,0,0,"$45,000 to $49,999",47500,0,Monthly,3,4.5625,29.24768678,43.24128279,1.092411355,2.437307232
11,Alco Water Service,CA2710001,7/27/2014,Monthly,converted to kgal,15.72177561,3.968875664,3.458281818,Tiered,21.32,39.64,61.65,0-10,0,7.48052,1.00E+06,1.00E+07,1.00E+08,1.00E+09,1.00E+10,1.00E+11,1.00E+12,2.3228-2.7875,1.737575186,2.08519495,0,0,0,0,0,0,"$45,000 to $49,999",47500,0,Monthly,4,6.083333333,31.89024905,43.24128279,1.092411355,2.657520754
12,Alco Water Service,CA2710001,7/27/2014,Monthly,converted to kgal,15.72177561,3.968875664,3.458281818,Tiered,21.32,39.64,61.65,0-10,0,7.48052,1.00E+06,1.00E+07,1.00E+08,1.00E+09,1.00E+10,1.00E+11,1.00E+12,2.3228-2.7875,1.737575186,2.08519495,0,0,0,0,0,0,"$45,000 to $49,999",47500,0,Monthly,5,7.604166667,34.57579333,43.24128279,1.092411355,2.881316111
13,Alco Water Service,CA2710001,7/27/2014,Monthly,converted to kgal,15.72177561,3.968875664,3.458281818,Tiered,21.32,39.64,61.65,0-10,0,7.48052,1.00E+06,1.00E+07,1.00E+08,1.00E+09,1.00E+10,1.00E+11,1.00E+12,2.3228-2.7875,1.737575186,2.08519495,0,0,0,0,0,0,"$45,000 to $49,999",47500,0,Monthly,6,9.125,37.74702732,43.24128279,1.092411355,3.14558561
14,Alco Water Service,CA2710001,7/27/2014,Monthly,converted to kgal,15.72177561,3.968875664,3.458281818,Tiered,21.32,39.64,61.65,0-10,0,7.48052,1.00E+06,1.00E+07,1.00E+08,1.00E+09,1.00E+10,1.00E+11,1.00E+12,2.3228-2.7875,1.737575186,2.08519495,0,0,0,0,0,0,"$45,000 to $49,999",47500,0,Monthly,7,10.64583333,40.91826131,43.24128279,1.092411355,3.409855109
15,Alhambra  City Of,CA1910001,7/1/2013,Bi-Monthly,converted to kgal,10,2.644198099,9.275830476,Tiered,11.67,13.6,19.435,0-13-21,0,4.862338,7.854546,1.00E+07,1.00E+08,1.00E+09,1.00E+10,1.00E+11,1.00E+12,2.72-2.88-2.96,2.03470144,2.15438976,2.21423392,0,0,0,0,0,"$50,000 to $59,999",55000,0,Monthly,1,1.520833333,14.76444177,27.20287034,0.593517171,1.230370148
16,Alhambra  City Of,CA1910001,7/1/2013,Bi-Monthly,converted to kgal,10,2.644198099,9.275830476,Tiered,11.67,13.6,19.435,0-13-21,0,4.862338,7.854546,1.00E+07,1.00E+08,1.00E+09,1.00E+10,1.00E+11,1.00E+12,2.72-2.88-2.96,2.03470144,2.15438976,2.21423392,0,0,0,0,0,"$50,000 to $59,999",55000,0,Monthly,2,3.041666667,17.85888355,27.20287034,0.593517171,1.488240296
17,Alhambra  City Of,CA1910001,7/1/2013,Bi-Monthly,converted to kgal,10,2.644198099,9.275830476,Tiered,11.67,13.6,19.435,0-13-21,0,4.862338,7.854546,1.00E+07,1.00E+08,1.00E+09,1.00E+10,1.00E+11,1.00E+12,2.72-2.88-2.96,2.03470144,2.15438976,2.21423392,0,0,0,0,0,"$50,000 to $59,999",55000,0,Monthly,3,4.5625,20.95332532,27.20287034,0.593517171,1.746110443
18,Alhambra  City Of,CA1910001,7/1/2013,Bi-Monthly,converted to kgal,10,2.644198099,9.275830476,Tiered,11.67,13.6,19.435,0-13-21,0,4.862338,7.854546,1.00E+07,1.00E+08,1.00E+09,1.00E+10,1.00E+11,1.00E+12,2.72-2.88-2.96,2.03470144,2.15438976,2.21423392,0,0,0,0,0,"$50,000 to $59,999",55000,0,Monthly,4,6.083333333,24.19390597,27.20287034,0.593517171,2.016158831
19,Alhambra  City Of,CA1910001,7/1/2013,Bi-Monthly,converted to kgal,10,2.644198099,9.275830476,Tiered,11.67,13.6,19.435,0-13-21,0,4.862338,7.854546,1.00E+07,1.00E+08,1.00E+09,1.00E+10,1.00E+11,1.00E+12,2.72-2.88-2.96,2.03470144,2.15438976,2.21423392,0,0,0,0,0,"$50,000 to $59,999",55000,0,Monthly,5,7.604166667,27.47037373,27.20287034,0.593517171,2.289197811
20,Alhambra  City Of,CA1910001,7/1/2013,Bi-Monthly,converted to kgal,10,2.644198099,9.275830476,Tiered,11.67,13.6,19.435,0-13-21,0,4.862338,7.854546,1.00E+07,1.00E+08,1.00E+09,1.00E+10,1.00E+11,1.00E+12,2.72-2.88-2.96,2.03470144,2.15438976,2.21423392,0,0,0,0,0,"$50,000 to $59,999",55000,0,Monthly,6,9.125,30.82287075,27.20287034,0.593517171,2.568572562
21,Alhambra  City Of,CA1910001,7/1/2013,Bi-Monthly,converted to kgal,10,2.644198099,9.275830476,Tiered,11.67,13.6,19.435,0-13-21,0,4.862338,7.854546,1.00E+07,1.00E+08,1.00E+09,1.00E+10,1.00E+11,1.00E+12,2.72-2.88-2.96,2.03470144,2.15438976,2.21423392,0,0,0,0,0,"$50,000 to $59,999",55000,0,Monthly,7,10.64583333,34.1903515,27.20287034,0.593517171,2.849195958
22,Amador Water Agency,CA0310002,10/1/2017,Monthly,converted to kgal,8.459899765,3,4.435170864,Uniform,25.08,20.64,45.72,NA,0,1.00E+05,1.00E+06,1.00E+07,1.00E+08,1.00E+09,1.00E+10,1.00E+11,1.00E+12,2.44,1.82524688,0,0,0,0,0,0,0,NA,NA,1,Monthly,1,1.520833333,27.8558963,36.63017143,NA,2.321324691
