"","PWSID","ILI","REPORTING_YEAR"
"1","CA5610024",12.12980237,2016
"2","CA1310002",0.451063396,2016
"3","CA3310022",1.110521016,2017
"4","CA1910102",2.223963124,2016
"5","CA3310037",1.004034585,2017
"6","CA1910065",0.89675551,2017
"7","CA3610008",1.078107745,2017
"8","CA3010030",1.262642258,2016
"9","CA1910154",1.81947701,2016
"10","CA0391004",1.58195447,2017
"11","CA41",3.670807283,2016
"12","CAc(""1910161"", ""1910211"", ""1910021"")",0.390332269,2016
"13","CA4110024",1.921320106,2017
"14","CA4210001",0.235841964,2017
"15","CA5410015",2.40090549,2017
"16","CA1510038",0.253157648,2016
"17","CA1010007",4.242086259,2016
"18","CA3310020",1.737140183,2017
"19","CAc(""3710018"", ""1"")",1.627822751,2016
"20","CA1910092",1.450199884,2016
"21","CA5610023",0.427579767,2016
"22","CA4310007",2.151890301,2017
"23","CA1910148",4.04015128,2017
"24","CA1910034",2.426126623,2017
"25","CA1510012",5.702092129,2017
"26","CA0410007",0.618341009,2017
"27","CAc(""56100140"", ""5610081"")",2.033565905,2017
"28","CA1510038",0.253157157,2016
"29","CA0710004",2.399942096,2017
"30","CA1910152",0.826291102,2017
"31","CA1910034",1.520175007,2017
"32","CA1310006",3.31459889,2016
"33","CA1510020",1.943992841,2018
"34","CAc(""3010035"", ""3010070"")",1.849214234,2017
"35","CA3610015",0.113861047,2017
"36","CA4110017",-1.308530008,2017
"37","CA3010073",1.726331367,2018
"38","CA3610052",1.863642028,2018
"39","CAc(""1910001"", ""003"")",0.955041704,16
"40","CA1910096",1.880779451,2018
"41","CA3710016",0.0953,2018
"42","CA1910091",2.385823829,2018
"43","CA3710037",0.391061439,2018
"44","CA3710010",0.90665387,2018
"45","CA1910021",0.49155614,2017
"46","CA3710020",1.494959339,2018
"47","CA1910173",1.417988151,2018
"48","CA4310018",1.059703408,2018
"49","CA4310011",1.451375672,2018
"50","CA1020",0.990548914,2018
"51","CA3610039",2.795773804,2017
"52","CA1510005",1.182638421,2018
"53","CA4110027",0.106723178,2016
"54","CA1910021",0.49155614,2017
"55","CA1510021",NA,2017
"56","CA3310016",0.031230549,2018
"57","CA3410009",1.374907108,2017
"58","CA4810004",1.681785909,2017
"59","CA3910004",0.647656494,2018
"60","CAc(""1910203"", ""191000"", ""1910027"", ""1910025"")",0.101665721,2017
"61","CA1510018",1.511264872,2017
"62","CA772",2.261541841,2018
"63","CA0241004",15.16436593,2017
"64","CA3010003",3.301871994,2017
"65","CA4510005",2.966089898,2017
"66","CA3010073",0.975912464,2018
"67","CA2710008",5.917181953,2018
"68","CA2410001",29.06114081,2018
"69","CA1010018",4.402240665,2018
"70","CA3410023",4.253320984,2018
"71","CA1910042",0.165515618,2018
"72","CA1910040",0.251350596,2018
"73","CA40610003",1.373414639,2018
"74","CA1910079",1.478182095,2018
"75","CA0421006",1.159782213,2018
"76","CA37100071",2.252922263,2018
"77","CA56100140",1.324367514,2018
"78","CA1910052",1.919325875,2018
"79","CA1910186",7.00697758,2018
"80","CA1910139",1.376988387,2018
"81","CA3410031",0.583118309,2018
"82","CA3410031",0.456492515,2018
"83","CA3410017",-0.411318959,2018
"84","CAc(""3410034"", ""3410010"")",2.440663186,2018
"85","CA2710004",0.238152353,2018
"86","CA3610003",0.781776829,2018
"87","CA3310025",1.312085821,2018
"88","CA5010014",4.599947039,2018
"89","CA3310012",0.810700329,2018
"90","CA3610025",0.785699153,2018
"91","CA4810007",4.438150932,2018
"92","CA4110003",0.72604028,2019
"93","CA4110021",1.424764597,2018
"94","CA1910146",-1.354448828,2018
"95","CA3410004",1.429727042,2018
"96","CA0910002",3.813336939,2018
"97","CA5410002",4.812588096,2018
"98","CA3310006",3.09685972,2018
"99","CA4510006",0.947008994,2018
"100","CA4910014",2.708781591,2018
"101","CA3910004",0.643078466,2018
"102","CA3310007",1.052793896,2018
"103","CA5510001",3.045043251,2018
"104","CA5510012",1.294440088,2018
"105","CA3010101",1.259297432,2019
"106","CA3410021",2.539909407,2018
"107","CA4110013",0.0479,2018
"108","CA1510022",-0.158895992,2018
"109","CA5610020",0.849962405,2019
"110","CA1510017",2.036354662,2019
"111","CA1910166",0.184582441,2018
"112","CA3610038",1.417372687,2018
"113","CA3410020",4.724344804,2019
"114","CA2710017",2.25759074,2018
"115","CA5010028",1.730569096,2018
"116","CA5010019",2.373131404,2018
"117","CA1310001",5.906216345,2018
"118","CA1910239",0.893414779,2018
"119","CA5810002",7.582782934,2018
"120","CA3510003",0.891490239,2018
"121","CA4910006",2.109742513,2018
"122","CA4410014",2.115756789,2018
"123","CA3910005",0.911961301,2018
"124","CA3110004",1.346416881,2018
"125","CA1910156",0.94896523,2018
"126","CA4910012",2.230850249,2018
"127","CA0071001",0.0996,2019
"128","CA4910017",1.379798021,2019
"129","CA3610036",0.0231,2019
"130","CA3410001",1.164167903,2018
"131","CA0910013",1.005455868,2018
"132","CA3110025",2.896350998,2018
