"","pwsid","PI_INFRASTRUCT_LEAKAGE_INDEX","REPORTING_YEAR","WATER_SUPPLIER_NAME","SUPPLIER_NAME"
"1","CAcharacter(0)",1.184419161,2016,"Brea  City Of","City of Brea"
"2","CA0410007",1.136304722,2016,"Paradise Irrigation District","Paradise Irrigation District"
"3","CA2710001",1.016829872,2016,"Alco Water Service","SALINAS / ALCO WATER SERVICE"
"4","CA5510009",0.819579993,2016,"Groveland Community Services District","Groveland Community Services District"
"5","CA0110011",1.986141188,2016,"Livermore  City Of","City of Livermore Water"
"6","CAcharacter(0)",1.861652998,2016,"Lomita  City Of","City of Lomita"
"7","CA1510031",0.322650962,2016,"Bakersfield  City Of","City of Bakersfield"
"8","CA4310011",1.914138398,2017,"San Jose Water Company","San Jose Water Company"
"9","CA5610024",12.12980237,2016,"Casitas Municipal Water District","Casitas Municipal Water District"
"10","CA4210011",0.761322423,2016,"Santa Maria  City Of","City of Santa Maria"
"11","CA1310001",4.202148783,2016,"Brawley  City Of","City of Brawley"
"12","CA2810003",1.769074524,2016,"Napa  City Of","City of Napa"
"13","CA1910239",1.174180255,2016,"Lakewood  City Of","City of Lakewood"
"14","CA4010007",0.670419832,2016,"Paso Robles  City Of","City of Paso Robles"
"15","CA1310002",0.451063396,2016,"Calexico  City Of","City of Calexico"
"16","CA1910105",5.794152899,2017,"Paramount  City Of","City of Paramount - Public Works"
"17","CA40610003",0.886146589,2016,"Nipomo Community Service District","Nipomo Community Services District"
"18","CA3610038",1.698956319,2016,"Rialto  City Of","Rialto / Rialto Water Services"
"19","CAcharacter(0)",2.972157792,2016,"North Tahoe Public Utilities District","North Tahoe Public Utility District"
"20","CA4110013",1.59475067,2016,"Daly City","City of Daly City"
"21","CAcharacter(0)",5.408084437,2016,"La Palma  City Of","City of La Palma"
"22","CA4310004",2.228322717,2016,"Gilroy  City Of","City of Gilroy"
"23","CAcharacter(0)",6.613529166,2016,"Turlock  City Of","City of Turlock"
"24","CA1010018",1.164878397,2016,"Kerman  City Of","City of Kerman"
"25","CA4910012",1.054435504,2016,"Sonoma  City Of","City of Sonoma"
"26","CA4310018",1.040858426,2017,"Cupertino  City Of","City of Cupertino"
"27","CAc(""56100140"", ""5610081"")",1.437758235,2016,"California American Water Company - Ventura District","California American Water - Ventura"
"28","CA37100071",1.106936922,2016,"California American Water Company - San Diego District","California American Water - San Diego District"
"29","CA1910139",2.212281989,2016,"California American Water Company - Los Angeles Division","California American Water Los Angeles County District - San Marino"
"30","CA3310006",2.395775883,2016,"Banning  City Of","City of Banning"
"31","CA0710006",1.81954971,2016,"Martinez  City Of","City of Martinez"
"32","CAcharacter(0)",1.977307174,2016,"Millbrae  City Of","City of Millbrae"
"33","CA3410023",8.889976736,2016,"Fruitridge Vista Water Company","Fruitridge Vista Water Co"
"34","CAcharacter(0)",0.633911304,2016,"Big Bear Lake  City Of","City of Big Bear Lake Department of Water and Power"
"35","CAcharacter(0)",1.33013223,2016,"Westminister  City Of","City of Westminster"
"36","CA3310022",1.110521016,2017,"Lake Hemet Municipal Water District","Lake Hemet Municipal Water District"
"37","CAcharacter(0)",0.264537434,2016,"Coachella  City Of","Coachella Water Authority"
"38","CAc(""1210001"", ""1210021"")",2.078905115,2016,"Arcata  City Of","City of Arcata"
"39","CA4810003",2.82330993,2016,"Fairfield  City Of","City of Fairfield"
"40","CAcharacter(0)",0.524301953,2016,"Lompoc  City Of","City of Lompoc Water Division"
"41","CA1010003",0.120447726,2016,"Clovis  City Of","City of Clovis"
"42","CAcharacter(0)",4.066705382,2016,"El Monte  City Of","El Monte Water Department"
"43","CA3010001",1.287874062,2016,"Anaheim  City Of","City of Anaheim Public Utilities Department"
"44","CA1910013",-0.511320706,2016,"Bellflower - Somerset Mutual Water Company","Bellflower Somerset Mutual water Co."
"45","CA1910102",2.223963124,2016,"Palmdale Water District","Palmdale Water District"
"46","CA1510021",1.372667655,2016,"Wasco  City Of","City of Wasco"
"47","CA3010073",1.775413387,2017,"Moulton Niguel Water District","Moulton Niguel Water District"
"48","CAcharacter(0)",1.187777048,2016,"San Fernando  City Of","City of San Fernando"
"49","CAcharacter(0)",1.432883389,2017,"Lake Arrowhead Community Services District","Lake Arrowhead Community Services District"
"50","CA1510017",3.191051533,2017,"Indian Wells Valley Water District","Indian Wells Valley Water District"
"51","CA5710006",2.069083544,2016,"Woodland  City Of","City of Woodland"
"52","CA3510003",1.195595658,2016,"Sunnyslope Community Water District","Sunnyslope County Water District"
"53","CAcharacter(0)",1.324640503,2016,"Fullerton  City Of","City of Fullerton"
"54","CA4010009",2.020420009,2016,"San Luis Obispo  City Of","City of San Luis Obispo"
"55","CAcharacter(0)",4.751838789,2016,"Calaveras County Water District","Calaveras County Water District - Ebbetts Pass"
"56","CA3610025",0.597819611,2016,"Joshua Basin Water District","Joshua Basin Water District"
"57","CA5710001",3.090831026,2016,"Davis  City Of","City of Davis"
"58","CAcharacter(0)",3.52278389,2016,"Anderson  City Of","City of Andersson"
"59","CAc(""3410034"", ""3410010"")",1.262246456,2016,"California American Water Company - Sacramento District","California American Water-Sacramento District-Suburban/Rosemont"
"60","CA5010018",2.341205719,2016,"Riverbank  City Of","City of Riverbank"
"61","CA2710017",1.405483269,2016,"Marina Coast Water District","Marina Coast Water District"
"62","CA1910179",0.490936313,2016,"Burbank  City Of","City of Burbank"
"63","CA1910052",0.985219293,2016,"California American Water Company - Los Angeles Division","California American Water Los Angeles County District - Baldwin Hills"
"64","CA1910186",3.113490685,2016,"California American Water Company - Los Angeles Division","California American Water Los Angeles County District - Duarte"
"65","CA3410021",7.353446817,2016,"San Juan Water District","San Juan Water District"
"66","CA4110011",1.002495409,2017,"Coastside County Water District","Coastside County Water District"
"67","CA1610004",7.790912682,2016,"Corcoran  City Of","City of Corcoran"
"68","CA2810005",2.781182762,2016,"American Canyon  City Of","City of American Canyon"
"69","CA1910225",1.227902753,2016,"Las Virgenes Municipal Water District","Las Virgenes Municipal Water District"
"70","CA0310002",2.454517624,2016,"Amador Water Agency","Amador Water Agency"
"71","CA4310022",1.63106554,2016,"Great Oaks Water Company Incorporated","Great Oaks Water Company"
"72","CAcharacter(0)",2.10045512,2016,"Beverly Hills  City Of","City of Beverly Hills"
"73","CAcharacter(0)",2.377549896,2016,"Petaluma  City Of","City of Petaluma"
"74","CAcharacter(0)",1.221127066,2016,"Sunnyvale  City Of","City of Sunnyvale"
"75","CAcharacter(0)",1.402258441,2016,"La Habra  City Of","La Habra"
"76","CAcharacter(0)",0.572931038,2016,"Escondido  City Of","City of Escondido"
"77","CA4510005",2.673612685,2016,"Redding  City Of","City of Redding Water Utility"
"78","CA3310037",1.004034585,2017,"Corona  City Of","City of Corona"
"79","CA1910065",0.89675551,2017,"Long Beach  City Of","Long Beach Water Department"
"80","CA3610008",1.078107745,2017,"Big Bear Community Services District","Big Bear City CSD"
"81","CA3410020",3.275860556,2017,"Sacramento  City Of","City of Sacramento Department of Utilities"
"82","CAcharacter(0)",0.102960981,2016,"Dublin San Ramon Services District","Dublin San Ramon Services District"
"83","CA2710011",1.660669042,2016,"Soledad  City Of","City of Soledad"
