"","PWSID","PWS_Name","County","Pop","ServConn","Water System Ownership","log10PopCat"
"1","CA0800557","HUNTER VALLEY CSD","DEL NORTE",96,"65","Privately owned Mutual Water Company or Association",1
"2","CA0800603","BUTTE COURT MOBILE HOME PARK","DEL NORTE",67,"23","Privately owned, non-PUC-regulated (Community Water System)",1
"3","CA0800605","WEST PARK PROPERTIES","DEL NORTE",112,"42","Privately owned, non-PUC-regulated (Community Water System)",2
"4","CA0800825","JED SMITH HOMEOWNERS ASSN.","DEL NORTE",58,"27","Privately owned Mutual Water Company or Association",1
"5","CA1200501","ALDERPOINT COUNTY WATER","HUMBOLDT",219,"79","Local Government",2
"6","CA1200541","PHILLIPSVILLE C.S.D.","HUMBOLDT",300,"66","Local Government",2
"7","CA1200544","REDCREST WATER WORKS","HUMBOLDT",100,"35","Privately owned Mutual Water Company or Association",2
"8","CA1200671","BENBOW-DEL ORO W.C.","HUMBOLDT",150,"135","Privately owned, PUC-regulated, for profit water company",2
"9","CA1200687","RIVERBEND MOBILE HOME PARK","HUMBOLDT",60,"28","Privately owned, non-PUC-regulated (Community Water System)",1
"10","CA1200701","ORICK C.S.D.","HUMBOLDT",450,"141","Privately owned, non-PUC-regulated (Community Water System)",2
"11","CA1200707","MIRANDA C.S.D.","HUMBOLDT",600,"142","Local Government",2
"12","CA1200715","GREEN DIAMOND RESOURCE COMPANY - KORBEL","HUMBOLDT",250,"18","Privately owned, non-PUC-regulated (Community Water System)",2
"13","CA0800526","REDWOOD PARK C.S.D.","DEL NORTE",200,"44","Local Government",2
"14","CA0800532","BIG ROCK C.S.D.","DEL NORTE",400,"107","Local Government",2
"15","CA0800548","KLAMATH C.S.D.","DEL NORTE",100,"60","Local Government",2
"16","CA0800552","NORTHCREST TRAILER CITY","DEL NORTE",250,"89","Privately owned, non-PUC-regulated (Community Water System)",2
"17","CA0800555","GASQUET C.S.D.","DEL NORTE",775,"210","Local Government",2
"18","CA0800556","HRC C.S.D.","DEL NORTE",150,"41","Privately owned Mutual Water Company or Association",2
"19","CA0800800","PINE GROVE TRAILER PARK","DEL NORTE",100,"51","Privately owned, non-PUC-regulated (Community Water System)",2
"20","CA0810001","CITY OF CRESCENT CITY","DEL NORTE",14000,"3416","Local Government",4
"21","CA0810003","BERTSCH OCEAN VIEW CSD","DEL NORTE",1600,"629","Local Government",3
"22","CA1200518","RIVERSIDE CSD","HUMBOLDT",293,"99","Local Government",2
"23","CA1200538","MYERS FLAT M.W.S. INC.","HUMBOLDT",400,"102","Privately owned Mutual Water Company or Association",2
"24","CA1200547","MILL CREEK M.W.C.","HUMBOLDT",65,"36","Privately owned Mutual Water Company or Association",1
"25","CA1200553","WEOTT C.S.D.","HUMBOLDT",364,"128","Local Government",2
"26","CA1200566","ORLEANS MUTUAL WATER CO.","HUMBOLDT",85,"38","Privately owned Mutual Water Company or Association",1
"27","CA1200587","BRICELAND C.S.D.","HUMBOLDT",75,"26","Local Government",1
"28","CA1200588","SEAWOOD ESTATES MUTUAL WATER COMPANY","HUMBOLDT",60,"23","Privately owned Mutual Water Company or Association",1
"29","CA1200590","MOONSTONE HEIGHTS MWA","HUMBOLDT",31,"14","Privately owned Mutual Water Company or Association",1
"30","CA1200591","BIG LAGOON PARK WATER CO.","HUMBOLDT",70,"76","Privately owned, non-PUC-regulated (Community Water System)",1
"31","CA1200592","BIG LAGOON CSD","HUMBOLDT",109,"40","Local Government",2
"32","CA1200643","BEACH CREEK MOBILE HOME PARK","HUMBOLDT",67,"24","Privately owned, non-PUC-regulated (Community Water System)",1
"33","CA1200706","TRINIDAD EXTENDED STAY RV","HUMBOLDT",130,"72","Privately owned, PUC-regulated, for profit water company",2
"34","CA1200718","WADDINGTON W.W.","HUMBOLDT",75,"24","Privately owned, non-PUC-regulated (Community Water System)",1
"35","CA1200729","ORLEANS C.S.D.","HUMBOLDT",633,"167","Local Government",2
"36","CA1206002","PALOMINO ESTATES WATER COMPANY","HUMBOLDT",64,"19","Privately owned Mutual Water Company or Association",1
"37","CA1210004","EUREKA, CITY OF","HUMBOLDT",32815,"9944","Local Government",4
"38","CA1210008","GARBERVILLE SANITARY DISTRICT","HUMBOLDT",1500,"442","Local Government",3
"39","CA1210009","HUMBOLDT C.S.D.","HUMBOLDT",24885,"7532","Local Government",4
"40","CA1210010","SCOTIA CSD","HUMBOLDT",850,"308","Local Government",2
"41","CA1210011","REDWAY C.S.D.","HUMBOLDT",1500,"687","Local Government",3
"42","CA1210012","RIO DELL, CITY OF","HUMBOLDT",3174,"1233","Local Government",3
"43","CA1210013","HUMBOLDT BAY MWD","HUMBOLDT",0,"206","Local Government",-Inf
"44","CA1210018","TRINIDAD, CITY OF","HUMBOLDT",1000,"325","Local Government",3
"45","CA1210019","HYDESVILLE CO. W.D.","HUMBOLDT",1409,"428","Local Government",3
"46","CA1210021","JACOBY CREEK CSD","HUMBOLDT",904,"329","Privately owned, non-PUC-regulated (Community Water System)",2
"47","CA1210022","RESORT IMPROVEMENT DISTRICT #1","HUMBOLDT",1500,"620","Local Government",3
"48","CA1210024","WESTHAVEN C.S.D.","HUMBOLDT",490,"226","Local Government",2
"49","CA2500503","CALIFORNIA PINES C.S.D.","MODOC",300,"168","Local Government",2
"50","CA2500801","NEWELL COUNTY WATER DISTRICT","MODOC",300,"310","Local Government",2
"51","CA2510001","CITY OF ALTURAS","MODOC",2537,"1470","Local Government",3
"52","CA2510002","CEDARVILLE COUNTY WATER DIST.","MODOC",500,"290","Local Government",2
"53","CA4700503","CALLAHAN WATER DISTRICT","SISKIYOU",70,"34","Local Government",1
"54","CA4700523","GRENADA SANITARY DISTRICT","SISKIYOU",280,"103","Local Government",2
"55","CA4700528","SISKIYOU CO. ROLLING HILLS MWC","SISKIYOU",300,"95","Privately owned, non-PUC-regulated (Community Water System)",2
"56","CA4700542","ABRAMS LAKE MOBILE ESTATES","SISKIYOU",135,"86","Privately owned, non-PUC-regulated (Community Water System)",2
"57","CA4700549","LAKE SISKIYOU M.W.C.","SISKIYOU",240,"84","Privately owned, non-PUC-regulated (Community Water System)",2
"58","CA4700551","COPCO LAKE MWC","SISKIYOU",181,"61","Privately owned Mutual Water Company or Association",2
"59","CA4700627","JUNIPER CREEK ESTATES","SISKIYOU",130,"52","Privately owned, non-PUC-regulated (Community Water System)",2
"60","CA4700638","OAK VALLEY ACRES P.O.A.","SISKIYOU",80,"27","Privately owned, non-PUC-regulated (Community Water System)",1
"61","CA1206004","PALMER CREEK CSD","HUMBOLDT",320,"131","Local Government",2
"62","CA1210001","ARCATA, CITY OF","HUMBOLDT",19077,"6134","Local Government",4
"63","CA1210002","BLUE LAKE, CITY OF","HUMBOLDT",1252,"699","Local Government",3
"64","CA1210006","FORTUNA, CITY OF","HUMBOLDT",11649,"4377","Local Government",4
"65","CA1210007","DEL ORO WATER CO-FERNDALE","HUMBOLDT",1998,"747","Privately owned, PUC-regulated, for profit water company",3
"66","CA1210015","WILLOW CREEK C.S.D.","HUMBOLDT",1710,"915","Local Government",3
"67","CA1210016","MCKINLEYVILLE C.S.D.","HUMBOLDT",16900,"5616","Local Government",4
"68","CA1210017","MANILA COMMUNITY SERVICES DIST.","HUMBOLDT",750,"357","Local Government",2
"69","CA1210020","FIELDBROOK GLENDALE C.S.D.","HUMBOLDT",1848,"551","Local Government",3
"70","CA1210023","LOLETA C.S.D.","HUMBOLDT",750,"280","Local Government",2
"71","CA2500911","I'SOT WELL #3 & #15","MODOC",215,"53","Privately owned, non-PUC-regulated (Community Water System)",2
"72","CA4700513","HORNBROOK C.S.D.","SISKIYOU",280,"147","Local Government",2
"73","CA4700521","SISKIYOU CO.SERVICE AREA #5/CARRICK","SISKIYOU",142,"58","Local Government",2
"74","CA4700531","TENNANT C.S.D.","SISKIYOU",94,"97","Local Government",1
