"","PWSID","PWS_Name","County","Pop","ServConn","Water System Ownership","Pop_per_conn","log10PopCat"
"1","CA0800557","HUNTER VALLEY CSD","DEL NORTE",96,65,"Privately owned Mutual Water Company or Association",1.47692307692308,1
"2","CA0800603","BUTTE COURT MOBILE HOME PARK","DEL NORTE",67,23,"Privately owned, non-PUC-regulated (Community Water System)",2.91304347826087,1
"3","CA0800605","WEST PARK PROPERTIES","DEL NORTE",112,42,"Privately owned, non-PUC-regulated (Community Water System)",2.66666666666667,2
"4","CA0800825","JED SMITH HOMEOWNERS ASSN.","DEL NORTE",58,27,"Privately owned Mutual Water Company or Association",2.14814814814815,1
"5","CA1200501","ALDERPOINT COUNTY WATER","HUMBOLDT",219,79,"Local Government",2.77215189873418,2
"6","CA1200541","PHILLIPSVILLE C.S.D.","HUMBOLDT",300,66,"Local Government",4.54545454545455,2
"7","CA1200544","REDCREST WATER WORKS","HUMBOLDT",100,35,"Privately owned Mutual Water Company or Association",2.85714285714286,2
"8","CA1200671","BENBOW-DEL ORO W.C.","HUMBOLDT",150,135,"Privately owned, PUC-regulated, for profit water company",1.11111111111111,2
"9","CA1200687","RIVERBEND MOBILE HOME PARK","HUMBOLDT",60,28,"Privately owned, non-PUC-regulated (Community Water System)",2.14285714285714,1
"10","CA1200701","ORICK C.S.D.","HUMBOLDT",450,141,"Privately owned, non-PUC-regulated (Community Water System)",3.19148936170213,2
"11","CA1200707","MIRANDA C.S.D.","HUMBOLDT",600,142,"Local Government",4.22535211267606,2
"12","CA1200715","GREEN DIAMOND RESOURCE COMPANY - KORBEL","HUMBOLDT",250,18,"Privately owned, non-PUC-regulated (Community Water System)",13.8888888888889,2
"13","CA0800526","REDWOOD PARK C.S.D.","DEL NORTE",200,44,"Local Government",4.54545454545455,2
"14","CA0800532","BIG ROCK C.S.D.","DEL NORTE",400,107,"Local Government",3.73831775700935,2
"15","CA0800548","KLAMATH C.S.D.","DEL NORTE",100,60,"Local Government",1.66666666666667,2
"16","CA0800552","NORTHCREST TRAILER CITY","DEL NORTE",250,89,"Privately owned, non-PUC-regulated (Community Water System)",2.80898876404494,2
"17","CA0800555","GASQUET C.S.D.","DEL NORTE",775,210,"Local Government",3.69047619047619,2
"18","CA0800556","HRC C.S.D.","DEL NORTE",150,41,"Privately owned Mutual Water Company or Association",3.65853658536585,2
"19","CA0800800","PINE GROVE TRAILER PARK","DEL NORTE",100,51,"Privately owned, non-PUC-regulated (Community Water System)",1.96078431372549,2
"20","CA0810001","CITY OF CRESCENT CITY","DEL NORTE",14000,3416,"Local Government",4.0983606557377,4
"21","CA0810003","BERTSCH OCEAN VIEW CSD","DEL NORTE",1600,629,"Local Government",2.54372019077901,3
"22","CA1200518","RIVERSIDE CSD","HUMBOLDT",293,99,"Local Government",2.95959595959596,2
"23","CA1200538","MYERS FLAT M.W.S. INC.","HUMBOLDT",400,102,"Privately owned Mutual Water Company or Association",3.92156862745098,2
"24","CA1200547","MILL CREEK M.W.C.","HUMBOLDT",65,36,"Privately owned Mutual Water Company or Association",1.80555555555556,1
"25","CA1200553","WEOTT C.S.D.","HUMBOLDT",364,128,"Local Government",2.84375,2
"26","CA1200566","ORLEANS MUTUAL WATER CO.","HUMBOLDT",85,38,"Privately owned Mutual Water Company or Association",2.23684210526316,1
"27","CA1200587","BRICELAND C.S.D.","HUMBOLDT",75,26,"Local Government",2.88461538461538,1
"28","CA1200588","SEAWOOD ESTATES MUTUAL WATER COMPANY","HUMBOLDT",60,23,"Privately owned Mutual Water Company or Association",2.60869565217391,1
"29","CA1200590","MOONSTONE HEIGHTS MWA","HUMBOLDT",31,14,"Privately owned Mutual Water Company or Association",2.21428571428571,1
"30","CA1200591","BIG LAGOON PARK WATER CO.","HUMBOLDT",70,76,"Privately owned, non-PUC-regulated (Community Water System)",0.921052631578947,1
"31","CA1200592","BIG LAGOON CSD","HUMBOLDT",109,40,"Local Government",2.725,2
"32","CA1200643","BEACH CREEK MOBILE HOME PARK","HUMBOLDT",67,24,"Privately owned, non-PUC-regulated (Community Water System)",2.79166666666667,1
"33","CA1200698","MOBILE ESTATES  FN","HUMBOLDT",120,66,"Privately owned, non-PUC-regulated (Community Water System)",1.81818181818182,2
"34","CA1200706","TRINIDAD EXTENDED STAY RV","HUMBOLDT",130,72,"Privately owned, PUC-regulated, for profit water company",1.80555555555556,2
"35","CA1200718","WADDINGTON W.W.","HUMBOLDT",75,24,"Privately owned, non-PUC-regulated (Community Water System)",3.125,1
"36","CA1200729","ORLEANS C.S.D.","HUMBOLDT",633,167,"Local Government",3.79041916167665,2
"37","CA1206002","PALOMINO ESTATES WATER COMPANY","HUMBOLDT",64,19,"Privately owned Mutual Water Company or Association",3.36842105263158,1
