,Dependent variable:,,,,,,,
,,,,,,,,
,Median HH Income,,20th Perc. HH Income,,% Pop. < 200% FPL,,Gini HH Income,
County Fixed Effects and Clustered Standard Errors?,No,Yes,No,Yes,No,Yes,No,Yes
Reference Category: Local Government,,,,,,,,
Privately owned business (non-community),"-10,852.53**","-13,591.76***","-3,089.66","-5,236.90*",1.32,3.16,0.02,0.02**
,"-5,514.54","-4,995.43","-3,264.62","-2,699.61",-3.44,-3.35,-0.01,-0.01
,,,,,,,,
Mutual Water Company or Association,"9,643.10**","5,250.69*","5,167.49**","2,965.11*",-3.89,-1.13,-0.01*,-0.01*
,"-4,814.78","-3,091.93","-2,407.12","-1,510.25",-2.53,-1.68,-0.01,-0.005
,,,,,,,,
"Privately owned, non-PUC-regulated","2,487.94","1,654.79",407.32,-412.17,0.18,0.35,-0.01,-0.01
,"-4,371.64","-2,960.60","-2,277.30","-1,517.28",-2.6,-2.21,-0.01,-0.01
,,,,,,,,
"PUC-regulated, for profit water company","4,778.24",482.5,"2,326.58",438.56,-2.08,-0.42,-0.01*,-0.004
,"-3,797.96","-2,537.37","-1,764.57","-1,149.94",-1.83,-1.38,-0.005,-0.003
,,,,,,,,
Constant,"72,219.51***",,"31,633.49***",,32.73***,,0.39***,
,"-3,211.94",,"-1,417.13",,-1.87,,-0.004,
,,,,,,,,
,,,,,,,,
Observations,"1,309","1,309","1,310","1,310","1,310","1,310","1,310","1,310"
R2,0.01,0.42,0.02,0.35,0.01,0.38,0.01,0.23
Adjusted R2,0.01,0.4,0.01,0.32,0.01,0.35,0.01,0.19
Residual Std. Error,"33,243.07 (df = 1304)","26,005.51 (df = 1247)","16,356.88 (df = 1305)","13,558.49 (df = 1248)",17.05 (df = 1305),13.83 (df = 1248),0.05 (df = 1305),0.05 (df = 1248)
,,,,,,,,
Note:,*p<0.1; **p<0.05; ***p<0.0,,,,,,,
